from_time,to_time,from_depth,to_depth,depth_change,time_hours,rate_per_hour
2025-12-25 11:08:50,2025-12-25 11:14:47,39.75,41.0,1.25,0.08891634256998698,14.058158082875618
2025-12-25 11:14:47,2025-12-25 11:20:56,41.0,43.333333333333336,2.3333333333333357,0.10546095682779948,22.125091631240252
2025-12-25 11:20:56,2025-12-25 11:24:54,43.333333333333336,44.0,0.6666666666666643,0.05089242282443576,13.099526995727297
2025-12-25 11:24:54,2025-12-25 11:34:28,44.0,44.0,0.0,0.16757982143825956,0.0
2025-12-25 11:34:28,2025-12-25 11:39:17,44.0,45.2,1.2000000000000028,0.08185384521484375,14.660276458000649
2025-12-25 11:39:17,2025-12-25 11:49:41,45.2,47.0,1.7999999999999972,0.16700216668023005,10.778303274631009
2025-12-25 11:49:41,2025-12-25 11:54:24,47.0,48.0,1.0,0.0802175,12.466107769501669
2025-12-25 11:54:24,2025-12-25 11:59:14,48.0,51.0,3.0,0.07745875,38.730291929575415
2025-12-25 11:59:14,2025-12-25 12:08:37,51.0,51.0,0.0,0.15523270833333333,0.0
2025-12-25 12:08:37,2025-12-25 12:08:50,51.0,51.25,0.25,0.0362771875,6.89138318674787
2025-12-25 12:08:50,2025-12-25 12:13:52,51.25,53.5,2.25,0.06725683159722222,33.45385065824194
2025-12-25 12:13:52,2025-12-25 12:29:01,53.5,55.22222222222222,1.7222222222222214,0.24391935282389324,7.060621481173102
2025-12-25 12:29:01,2025-12-25 12:49:08,55.22222222222222,57.166666666666664,1.9444444444444429,0.34242294752332897,5.678487550288871
2025-12-25 12:49:08,2025-12-25 12:57:09,57.166666666666664,61.0,3.8333333333333357,0.119311875,32.12868235733732
2025-12-25 12:57:09,2025-12-25 13:09:47,61.0,61.0,0.0,0.20883215277777778,0.0
2025-12-25 13:09:47,2025-12-25 13:14:14,61.0,64.0,3.0,0.07424666666666667,40.40585435934273
2025-12-25 13:14:14,2025-12-25 13:24:47,64.0,64.0,0.0,0.1757788888888889,0.0
2025-12-25 13:24:47,2025-12-25 13:29:51,64.0,66.66666666666667,2.6666666666666714,0.09692726854112413,27.51203770418087
2025-12-25 13:29:51,2025-12-25 13:39:24,66.66666666666667,67.0,0.3333333333333286,0.1466324536810981,2.273257556327024
2025-12-25 13:39:24,2025-12-25 13:45:15,67.0,68.0,1.0,0.10186388888888889,9.817021624717079
2025-12-25 13:45:15,2025-12-25 13:50:23,68.0,70.0,2.0,0.08129305555555555,24.602347473988146
2025-12-25 13:50:23,2025-12-25 13:59:58,70.0,70.0,0.0,0.1598088888888889,0.0
2025-12-25 13:59:58,2025-12-25 14:04:27,70.0,71.0,1.0,0.08301758104112414,12.045641266090774
2025-12-25 14:04:27,2025-12-25 14:09:04,71.0,74.0,3.0,0.07456899305555556,40.23119901545316
2025-12-25 14:09:04,2025-12-25 14:20:13,74.0,74.0,0.0,0.19128898145887588,0.0
2025-12-25 14:20:13,2025-12-25 14:24:59,74.0,77.0,3.0,0.06865277777777777,43.6981590127453
